"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MIR224_5P","MIR224_5P","MIR224_5P","13/704","180/27978",0.000670122386552867,0.0264874690684844,0.0216629591442436,"1829/6164/4015/55157/55686/51520/26298/27090/8654/1952/57530/5352/8204",13
"AP2GAMMA_01","AP2GAMMA_01","AP2GAMMA_01","16/704","252/27978",0.000704806012815181,0.0268167938995377,0.0219322997272132,"4254/5476/334/3589/1949/5585/84824/158763/90993/2899/51148/55806/4296/22843/23466/389792",16
"ZIC2_01","ZIC2_01","ZIC2_01","16/704","252/27978",0.000704806012815181,0.0268167938995377,0.0219322997272132,"10403/3589/7078/23002/3614/55603/81562/5292/57575/57282/2177/51148/55806/81876/627/23466",16
"MIR3171","MIR3171","MIR3171","8/704","77/27978",0.000705235259009147,0.0268167938995377,0.0219322997272132,"79960/4015/23397/9700/57575/3698/4054/345778",8
"ZNF354B_TARGET_GENES","ZNF354B_TARGET_GENES","ZNF354B_TARGET_GENES","14/704","205/27978",0.00073649129549041,0.0276552481456649,0.0226180353115081,"5476/537/57192/2717/1186/64747/2588/11322/347734/2548/2629/84975/3916/147645",14
"MXD1_TARGET_GENES","MXD1_TARGET_GENES","MXD1_TARGET_GENES","12/704","160/27978",0.000765287988732761,0.0283817915821384,0.0232122438687754,"3655/10135/57486/51520/26298/4008/1915/4085/1163/26020/60674/283131",12
"NERF_Q2","NERF_Q2","NERF_Q2","16/704","255/27978",0.00079965790825626,0.0289418356192989,0.0236702797447066,"11313/3993/9209/11151/171177/10314/652/114904/5045/10609/476/6522/284110/5099/1649/1960",16
"NGFIC_01","NGFIC_01","NGFIC_01","16/704","255/27978",0.00079965790825626,0.0289418356192989,0.0236702797447066,"334/7023/4602/51614/64101/8553/351/516/22883/9537/627/1960/64219/4122/4312/26020",16
"HFH8_01","HFH8_01","HFH8_01","14/704","208/27978",0.000848556361665607,0.0303459917909938,0.024818678547964,"7023/9173/2274/23767/675/2674/27295/861/55806/6657/23705/23466/7124/4082",14
"MIR298","MIR298","MIR298","13/704","185/27978",0.000864632288048891,0.0305571222741043,0.0249913530688063,"51566/2887/1303/10486/2335/4602/351/481/57530/10525/64084/59344/2664",13
"MIR3160_5P","MIR3160_5P","MIR3160_5P","14/704","209/27978",0.000888968284870484,0.0310518689273364,0.0253959850292253,"4254/6558/10644/6319/23002/10051/5983/2799/4008/2674/90993/55450/1501/1903",14
"MIR1343_3P","MIR1343_3P","MIR1343_3P","12/704","163/27978",0.000900837375732002,0.0311047755942406,0.0254392551114155,"6515/5476/1117/7046/3488/408/1952/90993/80145/56905/627/338324",12
"PU1_Q6","PU1_Q6","PU1_Q6","15/704","236/27978",0.00101076988053965,0.0345040081947854,0.0282193409232003,"5476/489/9780/3646/2625/64207/5585/84824/85004/516/6755/2898/89797/5101/1435",15
"IRF1_Q6","IRF1_Q6","IRF1_Q6","16/704","263/27978",0.00110727359047935,0.0367135913533032,0.0300264637390881,"23224/9319/10269/10175/51599/4015/8942/2064/4685/9114/6522/5979/1501/4296/5101/6892",16
"PEA3_Q6","PEA3_Q6","PEA3_Q6","16/704","263/27978",0.00110727359047935,0.0367135913533032,0.0300264637390881,"6515/64834/22978/2625/3709/26298/3087/81544/23400/57326/81876/627/2517/64856/23705/4312",16
"MIR7110_5P","MIR7110_5P","MIR7110_5P","12/704","167/27978",0.00111216272075586,0.0367135913533032,0.0300264637390881,"4923/80381/30818/3488/5914/116113/10525/90993/284110/81876/64837/1946",12
"SP1_01","SP1_01","SP1_01","15/704","239/27978",0.00114726428613541,0.0372098676269855,0.0304323467101353,"7175/4792/1209/1303/6513/3925/55577/64101/54795/2674/22883/596/627/11248/23705",15
"AREB6_03","AREB6_03","AREB6_03","16/704","264/27978",0.00115196993652119,0.0372098676269855,0.0304323467101353,"1829/3993/1789/3655/51599/196/7852/27189/2317/351/2768/4041/255743/26960/285489/29803",16
"MIR3934_3P","MIR3934_3P","MIR3934_3P","9/704","103/27978",0.00117805752402145,0.0376477106612811,0.0307904396535952,"79960/79974/29066/948/26229/57182/23114/666/345778",9
"LMO2COM_01","LMO2COM_01","LMO2COM_01","16/704","265/27978",0.00119818240424667,0.0378877888669158,0.030986789268828,"79960/3614/1303/3488/5585/27189/9746/481/1382/7483/2674/861/26960/285489/23705/26020",16
"NFKAPPAB65_01","NFKAPPAB65_01","NFKAPPAB65_01","15/704","241/27978",0.00124662891448458,0.0379089085049839,0.0310040621103905,"6558/3383/4616/4792/6385/27189/26298/9924/57575/481/81544/5364/4296/627/780",15
"MIR532_3P","MIR532_3P","MIR532_3P","8/704","84/27978",0.00125352331920451,0.0379089085049839,0.0310040621103905,"4602/11226/8682/23114/6241/284613/1946/1435",8
"MIR610","MIR610","MIR610","8/704","84/27978",0.00125352331920451,0.0379089085049839,0.0310040621103905,"4254/7358/1058/11113/79143/6229/8682/55010",8
"MIR1343_5P","MIR1343_5P","MIR1343_5P","10/704","125/27978",0.00126466160768137,0.0379089085049839,0.0310040621103905,"1186/1026/5914/116113/6229/23114/2899/81876/6228/7124",10
"MIR939_5P","MIR939_5P","MIR939_5P","10/704","125/27978",0.00126466160768137,0.0379089085049839,0.0310040621103905,"1186/1026/5914/116113/6229/23114/2899/81876/6228/7124",10
"MIR92A_2_5P","MIR92A_2_5P","MIR92A_2_5P","14/704","217/27978",0.00127456716344986,0.0379089085049839,0.0310040621103905,"9066/54868/8553/116113/408/9585/1952/10525/90993/23114/2194/4059/50861/2664",14
"PER1_TARGET_GENES","PER1_TARGET_GENES","PER1_TARGET_GENES","5/704","33/27978",0.00131619218995945,0.0387631503788056,0.0317027097148126,"6164/6144/1915/6136/60674",5
"MIR571","MIR571","MIR571","7/704","66/27978",0.00133345390938153,0.0388880923653583,0.0318048943796854,"1591/2734/3655/64168/5292/861/100128927",7
"GATA_C","GATA_C","GATA_C","16/704","268/27978",0.00134632543475275,0.0388880923653583,0.0318048943796854,"64063/9066/4084/489/57136/57617/3488/9173/57580/5819/23037/2899/22843/627/9516/5644",16
"MIR125B_5P","MIR125B_5P","MIR125B_5P","18/704","320/27978",0.00136558495973391,0.038913341692012,0.0318255447155218,"56919/1591/23002/2887/55603/30818/283537/79932/57530/57182/23218/5099/4296/64837/5167/4758/390205/6648",18
"MIR576_5P","MIR576_5P","MIR576_5P","19/704","347/27978",0.00139232050590001,0.038913341692012,0.0318255447155218,"11320/10644/3655/10135/857/2887/196/64168/2181/54478/57575/57650/4982/27333/8204/1946/9824/1903/11254",19
"MIR9_3P","MIR9_3P","MIR9_3P","19/704","347/27978",0.00139232050590001,0.038913341692012,0.0318255447155218,"6482/54443/4254/23224/6558/4680/10314/64101/6451/79710/51520/2799/351/890/5163/1758/2706/5099/169200",19
"ZID_01","ZID_01","ZID_01","16/704","269/27978",0.0013990149476489,0.038913341692012,0.0318255447155218,"2260/25906/64207/114904/5570/7057/8416/10205/151354/2899/124923/55806/285489/4059/5167/4082",16
"PR_01","PR_01","PR_01","11/704","149/27978",0.00142117606612716,0.0391670908499633,0.0320330752133346,"3655/5935/23164/8553/948/144110/284110/81876/627/5101/9687",11
"MIR125A_5P","MIR125A_5P","MIR125A_5P","18/704","322/27978",0.00146331390642145,0.0399617724990003,0.0326830110773939,"56919/1591/23002/2887/55603/30818/283537/79932/57530/57182/23218/5099/4296/64837/5167/4758/390205/6648",18
"YNGTTNNNATT_UNKNOWN","YNGTTNNNATT_UNKNOWN","YNGTTNNNATT_UNKNOWN","20/704","376/27978",0.00149250736862718,0.0401829152407211,0.0328638741929508,"55771/2239/10403/6790/23002/30844/26033/10635/652/23767/64101/9924/9585/57575/675/861/10395/596/627/6657",20
"LYF1_01","LYF1_01","LYF1_01","16/704","271/27978",0.00150961639751535,0.0401829152407211,0.0328638741929508,"23224/1949/533/652/5565/23164/9746/5045/8416/56950/2674/6280/6522/627/6657/2664",16
"MIR8071","MIR8071","MIR8071","5/704","34/27978",0.00151154108595256,0.0401829152407211,0.0328638741929508,"9066/7145/5163/4810/2878",5
"NKX62_Q2","NKX62_Q2","NKX62_Q2","15/704","246/27978",0.00152714490735427,0.0402416079095811,0.0329118763967209,"26999/489/5241/6175/6164/900/8503/23767/57530/4041/4054/389692/23705/1364/4082",15
"MIR4764_3P","MIR4764_3P","MIR4764_3P","7/704","68/27978",0.00158984507247742,0.0411715051527773,0.0336723992664455,"4254/3912/5819/1545/4085/123036/26960",7
"MIR4791","MIR4791","MIR4791","7/704","68/27978",0.00158984507247742,0.0411715051527773,0.0336723992664455,"1591/211/3589/4907/23114/23705/5101",7
