"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENPP7P6",3.56493729136712,-0.390705293539181,1.06058160770571,-0.36838777016355,0.712584115274398,0.76718939022357
"UHRF2P1",3.48819736650653,0.414675089144748,1.1255342470356,0.36842511921508,0.712556270243959,0.76718939022357
"NEXN-AS1",5.5091444772641,0.293325122857417,0.796630196845474,0.368207386587825,0.712718602962005,0.76729895417364
"RP11-151F5.2",30.1441430074497,0.137912666261483,0.374775750312541,0.367987166049221,0.712882803805767,0.767440495199772
"RP11-334A14.2",1.78784225996444,-0.576012932730832,1.56654315168764,-0.367696818380197,0.713099313179312,0.767638332403328
"EP300",9542.78751037324,-0.0130369825925918,0.0354943740978232,-0.367297154097199,0.713397376671949,0.767923938926759
"NPM1P49",2.91095721953695,-0.426667966511378,1.16295282361008,-0.366883297283632,0.71370607085172,0.768220961918843
"MMS19",8181.4113909316,-0.0116580674926476,0.0317861459452824,-0.366765681901673,0.713793808261141,0.76828013448616
"RAD21-AS1",6.63501863915789,-0.301112212361189,0.821096418024436,-0.366719675973825,0.713828128279358,0.768281809336883
"ZACN",10.3629124571052,-0.218741758308888,0.597224450588476,-0.366263903116074,0.714168162101791,0.768612503815169
"EIF4A2P3",8.25859818215701,-0.244227936429728,0.666962931261765,-0.366179175756734,0.71423138004063,0.768645262773543
"KRT18P59",6.55176691966792,0.276568125345552,0.755596564487572,0.366026181621291,0.714345539090582,0.768732838280636
"RP11-477J21.6",9.58991800293719,0.234981607364301,0.643524627257075,0.365147808508703,0.715001075046776,0.769402974107285
"RP11-57H14.3",7.69842992244201,0.259173760668913,0.71018519742777,0.364938274703019,0.7151574826631,0.769535967830719
"EZH2P1",7.57913947550546,-0.286958507173239,0.786617686951465,-0.364800476690711,0.715260349237058,0.769611339845812
"SLC35A4",8.27358060097699,-0.266288495836514,0.730235515668955,-0.364661112918579,0.715364389914362,0.769687968206932
"AIMP1",5482.63035099181,-0.0124747763287771,0.0342452228690157,-0.364277854943207,0.715650534711691,0.769906192119216
"C19orf67",2.33496397257196,-0.466640188688937,1.28101864683445,-0.364272752658254,0.715654344405681,0.769906192119216
"ENO3",1796.82751068756,0.0186889249931207,0.0513069010613372,0.364257528841551,0.715665711528105,0.769906192119216
"AC004453.8",395.484892787132,0.0413884709636166,0.113663704057579,0.364130936139914,0.715760236569371,0.769937235071113
"AC006372.4",1.43684363366709,-0.667890481766317,1.83399738549836,-0.364171992308935,0.715729580011233,0.769937235071113
"RP11-9M16.2",26.1342987408969,-0.145418993018829,0.399493885358426,-0.364008057065403,0.715851992863492,0.770000613791561
"OVOS2",33.9406230540893,0.117895532152239,0.323938959765122,0.363943664688315,0.715900077594857,0.77001701387651
"CLEC4A",23.953218771875,-0.14404320631623,0.395944035763364,-0.36379688366443,0.716009689906541,0.770067136245042
"SLC10A4",2.37779228721203,-0.453319794055114,1.24609161199154,-0.363793311577312,0.716012357522736,0.770067136245042
"RP11-321N4.4",2.19991144885563,0.460075999044939,1.26702285035652,0.363115786676997,0.716518392266971,0.770576031015786
"RPS6P25",467.386389393767,0.0958135835433277,0.264113163843187,0.362774736969247,0.716773165087656,0.770814673154801
"POTEG",6.66426877204957,-0.266432019422898,0.735007168341463,-0.362489008133212,0.716986636077016,0.771008879637253
"CTD-2302E22.6",48.6466670415572,0.10042684253477,0.277145736778749,0.362361130652871,0.717082181837681,0.771076263672756
"RP11-42O15.2",2.46117358473791,-0.441801671948187,1.22092238961893,-0.361858931988364,0.717457450644839,0.771444413067262
"RP1-197B17.7",6.30797595020954,-0.277205876312811,0.766174642428154,-0.361805078061958,0.717497697133508,0.771452313269001
"TLCD2",4.51692085579829,0.318414482523604,0.881343156757653,0.361283207434218,0.717887745704159,0.771836302109896
"NUP210L",2.9976841942245,0.402854388138536,1.11635635828777,0.360865403907782,0.718200067047223,0.772101291591341
"RP1-224A6.9",2.21456782152392,0.462238124499985,1.28088646838082,0.360873610511557,0.718193931897913,0.772101291591341
"RPS26P28",7.43135432544182,0.249236822152601,0.690867380958823,0.360759284664297,0.718279402037723,0.772151180414549
"ARL6IP1P3",3.86899239906704,0.364461122765219,1.01039789987408,0.360710491194252,0.718315881167529,0.772154996676327
"RP11-316E14.2",2.9643840065111,-0.410089413282048,1.13739583970736,-0.360551181009734,0.718434989626064,0.772212232844773
"RP11-876N24.7",115.3496382117,-0.0672593984128276,0.186528382325412,-0.36058533063075,0.718409457043041,0.772212232844773
"RP11-13J10.1",29.9337956911576,-0.131054480658053,0.363549552274845,-0.360485881052538,0.718483813197739,0.772229313639537
"TAS2R3",3.66972669259331,0.352470422590756,0.978609082194258,0.360174894147149,0.718716348129103,0.772443837532283
"CTC-499B15.5",15.4580258631224,0.177164887656406,0.492341093069248,0.359841764480723,0.718965468811571,0.772676166559537
"RPS21P1",2.29270266942895,0.452850881356476,1.25898824487452,0.35969428880697,0.719075763455785,0.772759284018089
"SDCBPP2",6.05089951027575,-0.285511960338997,0.794193740167483,-0.359499132137188,0.719221726930854,0.772880723834911
"MEG9",11.5253393190807,-0.207691528763145,0.577831654843587,-0.359432590828491,0.719271497495236,0.772898787680588
"AC016292.3",8.1626062525284,0.241893861805102,0.673444336189607,0.359189095232063,0.719453633805114,0.773059077995514
"RP3-476K8.4",3.94340826725056,-0.345262691681062,0.961397838310802,-0.359125720823023,0.719501040893541,0.773074592554648
"RP11-81H14.3",3.54903983821601,-0.371351846378841,1.0342479181008,-0.359054961464905,0.719553973551897,0.773096042420089
"CCDC80",1.9098883987038,-0.516862545516589,1.441142239485,-0.358647835970232,0.719858556347458,0.773299353847301
"NEDD9",264.499164549492,-0.0436660058023596,0.121754942517687,-0.358638465917033,0.719865566889108,0.773299353847301
"RP11-717D12.1",1.79367794360425,-0.522262752576119,1.45628924052621,-0.3586257029458,0.719875116002078,0.773299353847301
"RP3-324O17.7",1.9098883987038,-0.516862545516589,1.441142239485,-0.358647835970232,0.719858556347458,0.773299353847301
"LMNB2",18425.4099462,0.0124681653139965,0.0348036726231591,0.358242805263601,0.720161616103443,0.77350258194201
"RP11-837J7.3",17.4409001258641,-0.166801183186213,0.4655328878669,-0.358301609904525,0.720117613449942,0.77350258194201
"TMEM253",6.53602757080537,0.264139331200943,0.737323822553968,0.358240603546495,0.720163263634184,0.77350258194201
"AC004951.5",29.5872870399972,0.127299679323683,0.355728771701747,0.357856011237726,0.720451071516348,0.773776264186637
"CERKL",5.70403126836581,0.284755749690507,0.795919825070294,0.357769389228818,0.720515900164747,0.773791315099539
"RP11-245P10.6",9.18895365934222,-0.233437087067311,0.652516205479014,-0.357749102791928,0.720531082997076,0.773791315099539
"AKNAD1",2.26917786181035,0.485675468324488,1.35864120252362,0.357471470335484,0.720738880534076,0.773979025904174
"AC098831.4",1.76902241386956,-0.555914525380302,1.55614868238493,-0.35723741032786,0.720914081741939,0.774131716937616
"REXO4",3473.57453047878,0.016478194099439,0.0461898280103672,0.356749414519156,0.721279408911674,0.774488545634666
"EIF3LP3",20.8505191456695,-0.157800437692515,0.442480544947886,-0.356626838160987,0.721371182964146,0.774551621838283
"AP000361.2",2.37833377530916,-0.438992517226363,1.23165790871074,-0.35642406395611,0.721523010693102,0.774679170226307
"PPARD",1560.39164753273,-0.0193142891032285,0.05420597826709,-0.356312896117489,0.721606252567484,0.774697601705655
"RP11-996F15.6",36.8278342416348,-0.11425683301226,0.320663139340004,-0.356314209507915,0.721605269088609,0.774697601705655
"SLC40A1",1.70404146858602,0.598266500864275,1.67950536713944,0.356215891041333,0.72167889213617,0.774740115446644
"FBXO2",1.78367878653785,-0.550705202821915,1.54701829149279,-0.35597846893621,0.72185668970258,0.774895509835002
"GPR19",129.997190629094,-0.0640719955543181,0.180085912418534,-0.355785717460285,0.72200104596424,0.775014993216547
